batter,bowler,total_balls,total_runs,dot_balls,fours,sixes,boundaries,dismissals,extras_conceded,strike_rate,boundary_percentage,dot_percentage,runs_per_dismissal
V Kohli,RA Jadeja,134,140,44,7,3,10,5,9,104.48,7.46,32.84,28.0
V Kohli,R Ashwin,131,160,44,13,6,19,1,11,122.14,14.5,33.59,160.0
RG Sharma,SP Narine,128,137,51,15,2,17,8,3,107.03,13.28,39.84,17.12
SK Raina,Harbhajan Singh,125,132,42,4,6,10,5,6,105.6,8.0,33.6,26.4
S Dhawan,Harbhajan Singh,123,147,53,17,4,21,4,4,119.51,17.07,43.09,36.75
KL Rahul,JJ Bumrah,121,147,49,13,4,17,3,10,121.49,14.05,40.5,49.0
RG Sharma,R Ashwin,118,105,50,4,4,8,4,2,88.98,6.78,42.37,26.25
RG Sharma,PP Chawla,115,146,40,12,6,18,2,0,126.96,15.65,34.78,73.0
DA Warner,SP Narine,115,176,44,16,9,25,2,7,153.04,21.74,38.26,88.0
V Kohli,DJ Bravo,110,157,39,17,4,21,2,7,142.73,19.09,35.45,78.5
AM Rahane,B Kumar,104,90,61,14,0,14,6,5,86.54,13.46,58.65,15.0
RG Sharma,UT Yadav,104,144,47,18,6,24,5,9,138.46,23.08,45.19,28.8
V Kohli,A Mishra,103,158,30,13,8,21,2,8,153.4,20.39,29.13,79.0
CH Gayle,Harbhajan Singh,103,102,53,7,6,13,5,9,99.03,12.62,51.46,20.4
SK Raina,PP Chawla,102,175,30,15,10,25,4,1,171.57,24.51,29.41,43.75
MS Dhoni,PP Ojha,100,98,44,3,5,8,7,4,98.0,8.0,44.0,14.0
DA Warner,R Ashwin,100,105,35,6,3,9,4,5,105.0,9.0,35.0,26.25
DA Warner,Harbhajan Singh,98,113,44,10,4,14,4,3,115.31,14.29,44.9,28.25
V Kohli,SP Narine,98,101,38,9,1,10,3,1,103.06,10.2,38.78,33.67
RV Uthappa,R Ashwin,96,123,31,7,7,14,7,4,128.12,14.58,32.29,17.57
V Kohli,JJ Bumrah,95,145,34,16,5,21,4,4,152.63,22.11,35.79,36.25
S Dhawan,DS Kulkarni,94,127,44,19,3,22,2,5,135.11,23.4,46.81,63.5
CH Gayle,B Kumar,94,131,48,12,9,21,1,6,139.36,22.34,51.06,131.0
V Kohli,PP Chawla,94,123,29,8,5,13,3,5,130.85,13.83,30.85,41.0
SK Raina,UT Yadav,93,93,54,14,2,16,3,7,100.0,17.2,58.06,31.0
AB de Villiers,RA Jadeja,93,111,33,8,5,13,2,4,119.35,13.98,35.48,55.5
CH Gayle,P Kumar,93,103,53,13,4,17,1,14,110.75,18.28,56.99,103.0
S Dhawan,R Ashwin,92,71,41,5,0,5,3,8,77.17,5.43,44.57,23.67
DA Warner,P Kumar,92,124,44,16,3,19,3,17,134.78,20.65,47.83,41.33
KA Pollard,DJ Bravo,92,136,38,12,8,20,4,6,147.83,21.74,41.3,34.0
