,Batter,Matches,Inns,Runs,Avg,SR,Year
1,Nicholas Pooran,14,14,499,62.38,6,2024
2,Virat Kohli,15,15,741,61.75,3,2024
3,Tristan Stubbs,14,13,378,54.00,6,2024
4,MS Dhoni,14,11,161,53.67,8,2024
5,Ruturaj Gaikwad,14,14,583,53.00,3,2024
6,Riyan Parag,15,14,573,52.09,3,2024
7,Sanju Samson,15,15,531,48.27,4,2024
8,Sai Sudharsan,12,12,527,47.91,1,2024
9,Venkatesh Iyer,14,13,370,46.25,5,2024
10,Ravindra Jadeja,14,11,267,44.50,5,2024
11,Shashank Singh,14,14,354,44.25,6,2024
12,Tilak Varma,13,13,416,41.60,3,2024
13,Arshad Khan,4,4,83,41.50,2,2024
14,Rishabh Pant,13,13,446,40.55,2,2024
15,Travis Head,15,15,567,40.50,1,2024
1,Shreyas Iyer,4,4,168,84.00,2,2025
2,Vijay Shankar,3,3,80,80.00,2,2025
3,Tristan Stubbs,3,3,79,79.00,2,2025
4,Nicholas Pooran,5,5,288,72.00,1,2025
5,Ashutosh Sharma,2,2,67,67.00,1,2025
6,Nehal Wadhera,3,3,114,57.00,1,2025
7,Tim David,4,3,55,55.00,2,2025
8,Virat Kohli,4,4,164,54.67,1,2025
9,Sai Sudharsan,5,5,273,54.60,-,2025
10,Mitchell Marsh,5,5,265,53.00,-,2025
11,MS Dhoni,5,5,103,51.50,3,2025
12,Jos Buttler,5,5,202,50.50,1,2025
13,Suryakumar Yadav,5,5,199,49.75,1,2025
14,Rinku Singh,5,4,99,49.50,2,2025
15,KL Rahul,2,2,92,46.00,-,2025
