,Batter,Matches,Inns,Runs,90s,50s,H.s,Year
1,Virat Kohli,15,15,741,1,5,113,2024
2,Sanju Samson,15,15,531,-,5,86,2024
3,Rajat Patidar,15,13,395,-,5,55,2024
4,Ruturaj Gaikwad,14,14,583,1,4,108,2024
5,Riyan Parag,15,14,573,-,4,84,2024
6,Travis Head,15,15,567,-,4,102,2024
7,KL Rahul,14,14,520,-,4,82,2024
8,Heinrich Klaasen,16,15,479,-,4,80,2024
9,Faf du Plessis,15,15,438,-,4,64,2024
10,Philip Salt,12,12,435,-,4,89,2024
11,Venkatesh Iyer,14,13,370,-,4,70,2024
12,Jake Fraser-McGurk,9,9,330,-,4,84,2024
13,Nicholas Pooran,14,14,499,-,3,75,2024
14,Sunil Narine,14,14,488,-,3,109,2024
15,Abhishek Sharma,16,16,484,-,3,75,2024
1,Mitchell Marsh,5,5,265,-,4,81,2025
2,Nicholas Pooran,5,5,288,-,3,87,2025
3,Sai Sudharsan,5,5,273,-,3,82,2025
4,Jos Buttler,5,5,202,-,2,73,2025
5,Ajinkya Rahane,5,5,184,-,2,61,2025
6,Shreyas Iyer,4,4,168,1,2,97,2025
7,Virat Kohli,4,4,164,-,2,67,2025
8,Rajat Patidar,4,4,161,-,2,64,2025
9,Ruturaj Gaikwad,5,5,122,-,2,63,2025
10,Suryakumar Yadav,5,5,199,-,1,67,2025
11,Sanju Samson,5,5,178,-,1,66,2025
12,Tilak Varma,5,4,151,-,1,56,2025
13,Shubman Gill,5,5,148,-,1,61,2025
14,Travis Head,5,5,148,-,1,67,2025
15,Rachin Ravindra,5,5,145,-,1,65,2025
