,Batter,Matches,Inns,Runs,6s,Year
1,Abhishek Sharma,16,16,484,42,2024
2,Virat Kohli,15,15,741,38,2024
3,Heinrich Klaasen,16,15,479,38,2024
4,Nicholas Pooran,14,14,499,36,2024
5,Riyan Parag,15,14,573,33,2024
6,Sunil Narine,14,14,488,33,2024
7,Rajat Patidar,15,13,395,33,2024
8,Travis Head,15,15,567,32,2024
9,Shivam Dube,14,14,396,28,2024
10,Jake Fraser-McGurk,9,9,330,28,2024
11,Tristan Stubbs,14,13,378,26,2024
12,Rishabh Pant,13,13,446,25,2024
13,Sanju Samson,15,15,531,24,2024
14,Philip Salt,12,12,435,24,2024
15,Rohit Sharma,14,14,417,23,2024
1,Nicholas Pooran,5,5,288,24,2025
2,Mitchell Marsh,5,5,265,15,2025
3,Shreyas Iyer,4,4,168,14,2025
4,Sai Sudharsan,5,5,273,12,2025
5,Ajinkya Rahane,5,5,184,12,2025
6,Aniket Verma,5,5,141,12,2025
7,Priyansh Arya,4,4,158,11,2025
8,Riyan Parag,5,5,135,11,2025
9,Sherfane Rutherford,5,5,136,10,2025
10,Jos Buttler,5,5,202,9,2025
11,Shimron Hetmyer,5,5,140,9,2025
12,Suryakumar Yadav,5,5,199,8,2025
13,Rajat Patidar,4,4,161,8,2025
14,Aiden Markram,5,5,144,8,2025
15,Quinton de Kock,5,5,118,8,2025
