Player,Team,Matches,Inns,Runs,Avg,SR,4s,6s,Year
1,Virat Kohli,15,15,741,61.75,154.70,62,38,2024
2,Ruturaj Gaikwad,14,14,583,53.00,141.16,58,18,2024
3,Riyan Parag,15,14,573,52.09,149.22,40,33,2024
4,Travis Head,15,15,567,40.50,191.55,64,32,2024
5,Sanju Samson,15,15,531,48.27,153.47,48,24,2024
6,Sai Sudharsan,12,12,527,47.91,141.29,48,16,2024
7,KL Rahul,14,14,520,37.14,136.13,45,19,2024
8,Nicholas Pooran,14,14,499,62.38,178.21,35,36,2024
9,Sunil Narine,14,14,488,34.86,180.74,50,33,2024
10,Abhishek Sharma,16,16,484,32.27,204.22,36,42,2024
11,Heinrich Klaasen,16,15,479,39.92,171.07,19,38,2024
12,Rishabh Pant,13,13,446,40.55,155.40,36,25,2024
13,Faf du Plessis,15,15,438,29.20,161.62,47,21,2024
14,Yashasvi Jaiswal,15,15,435,31.07,155.91,54,16,2024
15,Philip Salt,12,12,435,39.55,182.01,50,24,2024
1,Nicholas Pooran,5,5,288,72.00,225.00,25,24,2025
2,Sai Sudharsan,5,5,273,54.60,151.67,24,12,2025
3,Mitchell Marsh,5,5,265,53.00,180.27,28,15,2025
4,Jos Buttler,5,5,202,50.50,162.90,19,9,2025
5,Suryakumar Yadav,5,5,199,49.75,150.76,20,8,2025
6,Ajinkya Rahane,5,5,184,36.80,160.00,17,12,2025
7,Sanju Samson,5,5,178,35.60,150.85,20,7,2025
8,Shreyas Iyer,4,4,168,84.00,200.00,10,14,2025
9,Virat Kohli,4,4,164,54.67,143.86,15,6,2025
10,Rajat Patidar,4,4,161,40.25,175.00,16,8,2025
11,Priyansh Arya,4,4,158,39.50,210.67,15,11,2025
12,Heinrich Klaasen,5,5,152,30.40,168.89,13,7,2025
13,Tilak Varma,5,4,151,37.75,133.63,11,7,2025
14,Travis Head,5,5,148,29.60,189.74,21,6,2025
15,Shubman Gill,5,5,148,37.00,146.53,16,5,2025
