,Bowler,Matches,Overs,Inns,Wkts,Eco,Avg,SR,Year
1,Shashank Singh,14,1,1,1,5,5,6,2024
2,Nathan Ellis,1,4,1,1,6,24,24,2024
3,Jasprit Bumrah,13,51.5,13,20,6.48,16.8,15.55,2024
4,Keshav Maharaj,2,6,2,2,6.5,19.5,18,2024
5,Sunil Narine,14,55,14,17,6.69,21.65,19.41,2024
6,Mayank Yadav,4,12.1,4,7,6.98,12.14,10.43,2024
7,Liam Livingstone,7,12,4,3,7,28,24,2024
8,Mitchell Santner,3,9,3,2,7.11,32,27,2024
9,Maheesh Theekshana,5,20,5,2,7.2,72,60,2024
10,Abhishek Sharma,16,7,4,2,7.29,25.5,21,2024
11,Tristan Stubbs,14,2,2,3,7.5,5,4,2024
12,Axar Patel,14,44,14,11,7.66,30.64,24,2024
13,Matheesha Pathirana,6,22,6,13,7.68,13,10.15,2024
14,Krunal Pandya,14,33,12,6,7.73,42.5,33,2024
15,Ravindra Jadeja,14,47,14,8,7.85,46.12,35.25,2024
1,Moeen Ali,2,4,1,2,5.75,11.5,12,2025
2,Kuldeep Yadav,3,12,3,6,6,12,12,2025
3,Varun Chakaravarthy,5,19,5,6,6.58,20.83,19,2025
4,Prasidh Krishna,5,19,5,8,7.05,16.75,14.25,2025
5,Ravisrinivasan Sai Kishore,5,18.2,5,10,7.26,13.3,11,2025
6,Mohammed Siraj,5,20,5,10,7.7,15.4,12,2025
7,Liam Livingstone,4,7,3,2,7.71,27,21,2025
8,Digvesh Singh Rathi,5,20,5,7,7.75,22.14,17.14,2025
9,Josh Hazlewood,4,15.5,4,8,7.77,15.38,11.88,2025
10,Kamindu Mendis,2,2,2,1,8,16,12,2025
11,Ravindra Jadeja,5,13,5,2,8.08,52.5,39,2025
12,Glenn Maxwell,4,8,4,3,8.12,21.67,16,2025
13,Khaleel Ahmed,5,20,5,10,8.25,16.5,12,2025
14,Bhuvneshwar Kumar,3,11,3,3,8.27,30.33,22,2025
15,Noor Ahmad,5,18,5,11,8.33,13.64,9.82,2025
