player,team,runs,balls,4s,6s,out,match_id,strike_rate,average,boundary_pct
A Ashish Reddy,Deccan Chargers,35,30,3,1,4,5,116.66666666666667,8.75,0.5142857142857142
A Ashish Reddy,Sunrisers Hyderabad,245,166,13,14,11,18,147.59036144578312,22.272727272727273,0.5551020408163265
A Badoni,Lucknow Super Giants,634,505,46,24,26,35,125.54455445544555,24.384615384615383,0.5173501577287066
A Chandila,Rajasthan Royals,4,7,0,0,1,2,57.14285714285714,4.0,0.0
A Chopra,Kolkata Knight Riders,53,75,7,0,5,6,70.66666666666667,10.6,0.5283018867924528
A Choudhary,Royal Challengers Bangalore,25,20,1,1,2,3,125.0,12.5,0.4
A Dananjaya,Mumbai Indians,4,5,0,0,0,1,80.0,4.0,0.0
A Flintoff,Chennai Super Kings,62,57,5,2,2,3,108.77192982456141,31.0,0.5161290322580645
A Kamboj,Mumbai Indians,2,2,0,0,0,1,100.0,2.0,0.0
A Kumble,Royal Challengers Bangalore,35,49,3,0,2,15,71.42857142857143,17.5,0.34285714285714286
A Manohar,Gujarat Titans,231,181,21,10,14,15,127.62430939226519,16.5,0.6233766233766234
A Manohar,Sunrisers Hyderabad,0,1,0,0,1,1,0.0,0.0,0.0
A Mishra,Deccan Chargers,84,73,10,1,9,14,115.06849315068493,9.333333333333334,0.5476190476190477
A Mishra,Delhi Capitals,21,26,2,0,2,4,80.76923076923077,10.5,0.38095238095238093
A Mishra,Delhi Daredevils,164,201,8,4,15,28,81.59203980099502,10.933333333333334,0.34146341463414637
A Mishra,Lucknow Super Giants,19,30,2,0,1,1,63.33333333333333,19.0,0.42105263157894735
A Mishra,Sunrisers Hyderabad,93,110,9,0,4,8,84.54545454545455,23.25,0.3870967741935484
A Mithun,Royal Challengers Bangalore,34,26,4,1,5,6,130.76923076923077,6.8,0.6470588235294118
A Mukund,Chennai Super Kings,0,1,0,0,1,1,0.0,0.0,0.0
A Mukund,Royal Challengers Bangalore,19,22,1,0,1,1,86.36363636363636,19.0,0.21052631578947367
A Nehra,Chennai Super Kings,1,7,0,0,2,4,14.285714285714285,0.5,0.0
A Nehra,Delhi Daredevils,25,29,2,1,5,7,86.20689655172413,5.0,0.56
A Nehra,Mumbai Indians,3,13,0,0,0,3,23.076923076923077,3.0,0.0
A Nehra,Pune Warriors,11,13,1,0,1,2,84.61538461538461,11.0,0.36363636363636365
A Nehra,Sunrisers Hyderabad,1,1,0,0,0,1,100.0,1.0,0.0
A Nortje,Delhi Capitals,49,51,6,0,5,13,96.07843137254902,9.8,0.4897959183673469
A Raghuvanshi,Kolkata Knight Riders,193,131,18,9,8,8,147.32824427480915,24.125,0.6528497409326425
A Singh,Rajasthan Royals,2,10,0,0,4,5,20.0,0.5,0.0
A Symonds,Deccan Chargers,839,638,65,38,23,27,131.50470219435738,36.47826086956522,0.5816448152562574
A Symonds,Mumbai Indians,135,143,9,3,3,9,94.4055944055944,45.0,0.4
A Tomar,Kolkata Knight Riders,4,8,1,0,1,1,50.0,4.0,1.0
A Uniyal,Rajasthan Royals,4,7,0,0,1,2,57.14285714285714,4.0,0.0
A Zampa,Rajasthan Royals,10,17,0,0,3,3,58.82352941176471,3.3333333333333335,0.0
A Zampa,Rising Pune Supergiant,5,7,1,0,1,1,71.42857142857143,5.0,0.8
A Zampa,Rising Pune Supergiants,0,1,0,0,1,1,0.0,0.0,0.0
AA Bilakhia,Deccan Chargers,69,88,5,0,5,7,78.4090909090909,13.8,0.2898550724637681
AA Chavan,Rajasthan Royals,12,11,2,0,1,3,109.09090909090908,12.0,0.6666666666666666
AA Jhunjhunwala,Deccan Chargers,24,27,1,1,2,3,88.88888888888889,12.0,0.4166666666666667
AA Jhunjhunwala,Pune Warriors,10,19,2,0,2,2,52.63157894736842,5.0,0.8
AA Jhunjhunwala,Rajasthan Royals,183,172,16,4,10,10,106.3953488372093,18.3,0.4808743169398907
AA Kulkarni,Lucknow Super Giants,9,8,2,0,2,2,112.5,4.5,0.8888888888888888
AA Noffke,Royal Challengers Bangalore,9,12,1,0,1,1,75.0,9.0,0.4444444444444444
AB Agarkar,Delhi Daredevils,19,23,1,0,1,3,82.6086956521739,19.0,0.21052631578947367
AB Agarkar,Kolkata Knight Riders,160,137,12,5,7,15,116.7883211678832,22.857142857142858,0.4875
AB Barath,Kings XI Punjab,42,43,5,1,2,3,97.67441860465115,21.0,0.6190476190476191
AB Dinda,Delhi Daredevils,0,5,0,0,1,1,0.0,0.0,0.0
AB Dinda,Kolkata Knight Riders,4,8,0,0,4,5,50.0,1.0,0.0
AB Dinda,Pune Warriors,11,16,1,0,2,6,68.75,5.5,0.36363636363636365
AB Dinda,Rising Pune Supergiant,7,8,1,0,1,1,87.5,7.0,0.5714285714285714
AB Dinda,Royal Challengers Bangalore,4,13,0,0,1,3,30.76923076923077,4.0,0.0
AB McDonald,Delhi Daredevils,76,65,3,2,2,5,116.92307692307693,38.0,0.3157894736842105
AB McDonald,Royal Challengers Bangalore,47,38,6,2,3,4,123.6842105263158,15.666666666666666,0.7659574468085106
AB de Villiers,Delhi Daredevils,671,582,51,13,20,26,115.29209621993127,33.55,0.4202682563338301
AB de Villiers,Royal Challengers Bangalore,4510,2905,363,240,105,144,155.24956970740104,42.95238095238095,0.6412416851441242
AC Blizzard,Mumbai Indians,120,91,21,2,7,7,131.86813186813185,17.142857142857142,0.8
AC Gilchrist,Deccan Chargers,1220,865,136,64,46,46,141.04046242774567,26.52173913043478,0.760655737704918
AC Gilchrist,Kings XI Punjab,849,690,103,28,30,34,123.04347826086956,28.3,0.6831566548881036
AC Thomas,Pune Warriors,20,19,1,1,2,4,105.26315789473684,10.0,0.5
AC Voges,Rajasthan Royals,181,143,15,3,6,7,126.57342657342659,30.166666666666668,0.430939226519337
AD Hales,Sunrisers Hyderabad,148,119,13,6,6,6,124.36974789915966,24.666666666666668,0.5945945945945946
AD Mascarenhas,Kings XI Punjab,19,21,1,0,3,4,90.47619047619048,6.333333333333333,0.21052631578947367
AD Mascarenhas,Rajasthan Royals,60,58,4,1,7,7,103.44827586206897,8.571428571428571,0.36666666666666664
AD Mathews,Delhi Daredevils,176,137,14,7,9,12,128.46715328467153,19.555555555555557,0.5568181818181818
AD Mathews,Kolkata Knight Riders,249,211,20,8,7,11,118.0094786729858,35.57142857142857,0.5140562248995983
AD Mathews,Pune Warriors,299,251,10,14,15,18,119.12350597609563,19.933333333333334,0.41471571906354515
AD Nath,Gujarat Lions,20,28,1,0,4,4,71.42857142857143,5.0,0.2
AD Nath,Kings XI Punjab,9,13,1,0,1,1,69.23076923076923,9.0,0.4444444444444444
AD Nath,Royal Challengers Bangalore,61,58,5,2,5,5,105.17241379310344,12.2,0.5245901639344263
AD Russell,Delhi Daredevils,58,42,3,3,4,4,138.0952380952381,14.5,0.5172413793103449
AD Russell,Kolkata Knight Riders,2434,1476,169,206,81,101,164.90514905149053,30.049382716049383,0.7855382087099425
AF Milne,Mumbai Indians,16,19,0,1,2,3,84.21052631578947,8.0,0.375
AF Milne,Royal Challengers Bangalore,7,12,0,0,3,3,58.333333333333336,2.3333333333333335,0.0
AG Murtaza,Mumbai Indians,2,5,0,0,0,1,40.0,2.0,0.0
AG Murtaza,Pune Warriors,8,9,1,0,1,2,88.88888888888889,8.0,0.5
AG Paunikar,Rajasthan Royals,49,61,9,0,5,5,80.32786885245902,9.8,0.7346938775510204
AJ Finch,Delhi Daredevils,102,103,11,3,9,8,99.02912621359224,11.333333333333334,0.6078431372549019
AJ Finch,Gujarat Lions,693,501,70,30,20,25,138.32335329341316,34.65,0.6637806637806638
AJ Finch,Kings XI Punjab,134,102,6,8,8,9,131.37254901960785,16.75,0.5373134328358209
AJ Finch,Kolkata Knight Riders,86,70,10,3,6,5,122.85714285714286,14.333333333333334,0.6744186046511628
AJ Finch,Mumbai Indians,23,33,4,0,3,3,69.6969696969697,7.666666666666667,0.6956521739130435
AJ Finch,Pune Warriors,456,344,54,16,14,14,132.5581395348837,32.57142857142857,0.6842105263157895
AJ Finch,Rajasthan Royals,21,21,0,1,1,1,100.0,21.0,0.2857142857142857
AJ Finch,Royal Challengers Bangalore,268,254,28,8,12,12,105.51181102362204,22.333333333333332,0.5970149253731343
AJ Finch,Sunrisers Hyderabad,309,268,31,9,11,13,115.29850746268657,28.09090909090909,0.5760517799352751
AJ Hosein,Sunrisers Hyderabad,16,11,1,1,0,1,145.45454545454547,16.0,0.625
AJ Turner,Lucknow Super Giants,21,20,0,2,2,2,105.0,10.5,0.5714285714285714
AJ Turner,Rajasthan Royals,3,11,0,0,3,4,27.27272727272727,1.0,0.0
