bowler,team,runs_conceded,balls,wickets,extras,match_id,overs,economy,average
A Ashish Reddy,Deccan Chargers,238,169,11,9,9,28.2,8.439716312056738,21.636363636363637
A Ashish Reddy,Sunrisers Hyderabad,162,101,8,5,11,16.8,9.642857142857142,20.25
A Badoni,Lucknow Super Giants,37,25,2,1,5,4.2,8.809523809523808,18.5
A Chandila,Rajasthan Royals,245,234,11,3,12,39.0,6.282051282051282,22.272727272727273
A Choudhary,Royal Challengers Bangalore,144,108,5,7,5,18.0,8.0,28.8
A Dananjaya,Mumbai Indians,47,25,0,1,1,4.2,11.19047619047619,47.0
A Flintoff,Chennai Super Kings,106,66,2,1,3,11.0,9.636363636363637,53.0
A Kamboj,Mumbai Indians,115,68,2,9,3,11.3,10.176991150442477,57.5
A Kumble,Royal Challengers Bangalore,1089,983,49,62,42,163.8,6.648351648351648,22.224489795918366
A Mishra,Deccan Chargers,750,613,32,27,28,102.2,7.3385518590998045,23.4375
A Mishra,Delhi Capitals,452,388,20,5,18,64.7,6.986089644513137,22.6
A Mishra,Delhi Daredevils,2083,1710,91,81,81,285.0,7.3087719298245615,22.89010989010989
A Mishra,Lucknow Super Giants,171,127,8,3,8,21.2,8.066037735849056,21.375
A Mishra,Sunrisers Hyderabad,737,606,32,12,27,101.0,7.297029702970297,23.03125
A Mithun,Royal Challengers Bangalore,477,312,8,29,16,52.0,9.173076923076923,59.625
A Nehra,Chennai Super Kings,596,478,33,21,20,79.7,7.478042659974905,18.060606060606062
A Nehra,Delhi Daredevils,775,632,41,47,27,105.3,7.359924026590694,18.902439024390244
A Nehra,Mumbai Indians,357,280,14,21,14,46.7,7.644539614561027,25.5
A Nehra,Pune Warriors,411,291,12,12,13,48.5,8.474226804123711,34.25
A Nehra,Sunrisers Hyderabad,398,293,21,14,14,48.8,8.155737704918034,18.952380952380953
A Nel,Mumbai Indians,31,18,1,0,1,3.0,10.333333333333334,31.0
A Nortje,Delhi Capitals,1614,1097,62,91,46,182.8,8.829321663019693,26.032258064516128
A Singh,Rajasthan Royals,639,486,31,36,23,81.0,7.888888888888889,20.612903225806452
A Symonds,Deccan Chargers,653,516,22,38,27,86.0,7.593023255813954,29.681818181818183
A Symonds,Mumbai Indians,41,24,1,0,3,4.0,10.25,41.0
A Uniyal,Rajasthan Royals,67,38,3,3,2,6.3,10.634920634920634,22.333333333333332
A Zampa,Rajasthan Royals,189,133,9,3,6,22.2,8.513513513513514,21.0
A Zampa,Rising Pune Supergiant,164,122,7,4,6,20.3,8.078817733990148,23.428571428571427
A Zampa,Rising Pune Supergiants,117,103,12,7,5,17.2,6.802325581395349,9.75
A Zampa,Royal Challengers Bangalore,92,67,2,1,3,11.2,8.214285714285715,46.0
A Zampa,Sunrisers Hyderabad,48,25,1,1,1,4.2,11.428571428571429,48.0
AA Chavan,Rajasthan Royals,339,255,8,21,13,42.5,7.976470588235294,42.375
AA Jhunjhunwala,Deccan Chargers,39,36,1,1,3,6.0,6.5,39.0
AA Jhunjhunwala,Pune Warriors,22,13,0,1,2,2.2,10.0,22.0
AA Jhunjhunwala,Rajasthan Royals,69,39,0,2,5,6.5,10.615384615384615,69.0
AA Kazi,Royal Challengers Bangalore,21,13,1,1,1,2.2,9.545454545454545,21.0
AA Noffke,Royal Challengers Bangalore,41,25,1,6,1,4.2,9.761904761904761,41.0
AB Agarkar,Delhi Daredevils,463,317,13,15,15,52.8,8.768939393939394,35.61538461538461
AB Agarkar,Kolkata Knight Riders,711,503,20,47,27,83.8,8.484486873508354,35.55
AB Dinda,Delhi Daredevils,159,107,5,16,5,17.8,8.932584269662922,31.8
AB Dinda,Kolkata Knight Riders,616,539,29,37,27,89.8,6.859688195991091,21.24137931034483
AB Dinda,Pune Warriors,637,458,28,24,20,76.3,8.34862385321101,22.75
AB Dinda,Rising Pune Supergiant,121,65,2,7,3,10.8,11.203703703703702,60.5
AB Dinda,Rising Pune Supergiants,236,192,13,14,9,32.0,7.375,18.153846153846153
AB Dinda,Royal Challengers Bangalore,334,228,5,18,11,38.0,8.789473684210526,66.8
AB McDonald,Delhi Daredevils,183,115,8,1,6,19.2,9.53125,22.875
AB McDonald,Royal Challengers Bangalore,80,73,6,3,4,12.2,6.557377049180328,13.333333333333334
AC Gilchrist,Kings XI Punjab,0,1,1,0,1,0.2,0.0,0.0
AC Thomas,Pune Warriors,416,327,16,22,15,54.5,7.63302752293578,26.0
AC Voges,Rajasthan Royals,76,56,1,2,7,9.3,8.172043010752688,76.0
AD Mascarenhas,Kings XI Punjab,135,121,7,6,5,20.2,6.683168316831684,19.285714285714285
AD Mascarenhas,Rajasthan Royals,230,189,12,6,8,31.5,7.301587301587301,19.166666666666668
AD Mathews,Delhi Daredevils,306,216,7,10,12,36.0,8.5,43.714285714285715
AD Mathews,Kolkata Knight Riders,349,245,8,10,13,40.8,8.553921568627452,43.625
AD Mathews,Pune Warriors,440,346,13,21,19,57.7,7.625649913344887,33.84615384615385
AD Russell,Delhi Daredevils,230,142,1,5,7,23.7,9.70464135021097,230.0
AD Russell,Kolkata Knight Riders,2461,1629,124,125,105,271.5,9.064456721915285,19.846774193548388
AF Milne,Chennai Super Kings,19,15,0,0,1,2.5,7.6,19.0
AF Milne,Mumbai Indians,135,87,4,7,4,14.5,9.310344827586206,33.75
AF Milne,Royal Challengers Bangalore,185,115,5,19,5,19.2,9.635416666666668,37.0
AG Murtaza,Mumbai Indians,215,195,9,14,8,32.5,6.615384615384615,23.88888888888889
AG Murtaza,Pune Warriors,107,74,3,4,4,12.3,8.699186991869919,35.666666666666664
AJ Finch,Delhi Daredevils,13,13,0,1,1,2.2,5.909090909090908,13.0
AJ Finch,Pune Warriors,49,24,1,0,3,4.0,12.25,49.0
AJ Finch,Rajasthan Royals,5,7,0,0,1,1.2,4.166666666666667,5.0
AJ Hosein,Sunrisers Hyderabad,41,24,1,1,1,4.0,10.25,41.0
AJ Tye,Gujarat Lions,146,128,12,7,6,21.3,6.854460093896713,12.166666666666666
AJ Tye,Kings XI Punjab,692,490,31,33,20,81.7,8.470012239902081,22.322580645161292
AJ Tye,Lucknow Super Giants,113,69,3,9,3,11.5,9.826086956521738,37.666666666666664
AJ Tye,Rajasthan Royals,54,27,2,7,1,4.5,12.0,27.0
AK Markram,Punjab Kings,23,25,0,1,2,4.2,5.476190476190476,23.0
AK Markram,Sunrisers Hyderabad,150,98,2,2,12,16.3,9.202453987730062,75.0
AL Menaria,Rajasthan Royals,144,113,3,4,12,18.8,7.659574468085106,48.0
AM Nayar,Kings XI Punjab,111,69,2,2,7,11.5,9.652173913043478,55.5
AM Nayar,Mumbai Indians,153,120,5,7,9,20.0,7.65,30.6
AM Nayar,Pune Warriors,59,50,2,3,3,8.3,7.108433734939759,29.5
AM Rahane,Mumbai Indians,5,6,1,0,1,1.0,5.0,5.0
AM Salvi,Delhi Daredevils,205,156,7,15,7,26.0,7.884615384615385,29.285714285714285
AN Ahmed,Mumbai Indians,266,197,10,29,10,32.8,8.109756097560977,26.6
AN Ahmed,Royal Challengers Bangalore,249,165,5,19,7,27.5,9.054545454545455,49.8
AP Dole,Rajasthan Royals,114,73,5,9,3,12.2,9.344262295081968,22.8
AR Patel,Delhi Capitals,2019,1714,67,41,81,285.7,7.066853342667134,30.134328358208954
AR Patel,Kings XI Punjab,1805,1438,64,76,67,239.7,7.530246141009596,28.203125
AS Joseph,Gujarat Titans,495,335,15,18,16,55.8,8.870967741935484,33.0
AS Joseph,Mumbai Indians,89,55,6,5,3,9.2,9.673913043478262,14.833333333333334
AS Joseph,Royal Challengers Bengaluru,123,64,1,15,3,10.7,11.495327102803738,123.0
AS Rajpoot,Chennai Super Kings,37,25,1,3,2,4.2,8.809523809523808,37.0
AS Rajpoot,Kings XI Punjab,387,268,14,27,12,44.7,8.657718120805368,27.642857142857142
AS Rajpoot,Kolkata Knight Riders,214,159,7,22,9,26.5,8.075471698113208,30.571428571428573
AS Rajpoot,Rajasthan Royals,206,115,2,20,6,19.2,10.729166666666668,103.0
AS Raut,Rajasthan Royals,45,30,0,1,5,5.0,9.0,45.0
AS Roy,Kolkata Knight Riders,180,127,5,3,8,21.2,8.49056603773585,36.0
AS Roy,Mumbai Indians,11,15,1,3,1,2.5,4.4,11.0
AU Rashid,Punjab Kings,35,18,0,0,1,3.0,11.666666666666666,35.0
AU Rashid,Sunrisers Hyderabad,56,42,2,0,2,7.0,8.0,28.0
AUK Pathan,Royal Challengers Bangalore,63,41,0,6,3,6.8,9.264705882352942,63.0
Abdul Samad,Sunrisers Hyderabad,113,55,2,5,5,9.2,12.282608695652176,56.5
Abdur Razzak,Royal Challengers Bangalore,29,14,0,6,1,2.3,12.608695652173914,29.0
Abhishek Sharma,Sunrisers Hyderabad,413,290,11,16,27,48.3,8.55072463768116,37.54545454545455
Akash Deep,Royal Challengers Bangalore,269,152,7,14,7,25.3,10.632411067193676,38.42857142857143
Akash Deep,Royal Challengers Bengaluru,55,23,1,2,1,3.8,14.473684210526317,55.0
Akash Madhwal,Mumbai Indians,431,279,22,24,13,46.5,9.268817204301076,19.59090909090909
Akash Singh,Chennai Super Kings,188,117,5,3,6,19.5,9.64102564102564,37.6
Akash Singh,Rajasthan Royals,39,24,0,0,1,4.0,9.75,39.0
Aman Hakim Khan,Kolkata Knight Riders,13,6,0,0,1,1.0,13.0,13.0
Anand Rajan,Deccan Chargers,163,111,8,14,6,18.5,8.81081081081081,20.375
Anand Rajan,Sunrisers Hyderabad,43,51,2,4,2,8.5,5.0588235294117645,21.5
Ankit Sharma,Deccan Chargers,167,147,4,4,9,24.5,6.816326530612245,41.75
Ankit Sharma,Rajasthan Royals,169,140,7,7,7,23.3,7.253218884120171,24.142857142857142
Ankit Sharma,Rising Pune Supergiant,16,6,0,0,1,1.0,16.0,16.0
Ankit Sharma,Rising Pune Supergiants,84,70,1,6,3,11.7,7.17948717948718,84.0
Ankit Sharma,Sunrisers Hyderabad,17,12,0,0,1,2.0,8.5,17.0
Ankit Soni,Gujarat Lions,145,112,4,4,6,18.7,7.754010695187166,36.25
Anureet Singh,Kings XI Punjab,547,372,17,31,17,62.0,8.82258064516129,32.1764705882353
Anureet Singh,Kolkata Knight Riders,47,34,2,4,2,5.7,8.24561403508772,23.5
Anureet Singh,Rajasthan Royals,42,24,2,0,3,4.0,10.5,21.0
Arjun Tendulkar,Mumbai Indians,117,83,4,13,5,13.8,8.478260869565217,29.25
Arshad Khan,Lucknow Super Giants,90,56,1,8,3,9.3,9.677419354838708,90.0
Arshad Khan,Mumbai Indians,192,97,5,16,6,16.2,11.851851851851853,38.4
Arshad Khan (2),Lucknow Super Giants,25,13,0,3,1,2.2,11.363636363636363,25.0
Arshdeep Singh,Kings XI Punjab,336,223,14,24,11,37.2,9.032258064516128,24.0
Arshdeep Singh,Punjab Kings,1761,1230,70,115,54,205.0,8.590243902439024,25.15714285714286
Atharva Taide,Punjab Kings,4,1,0,0,1,0.2,20.0,4.0
Avesh Khan,Delhi Capitals,538,427,27,36,18,71.2,7.556179775280898,19.925925925925927
Avesh Khan,Delhi Daredevils,205,117,4,4,6,19.5,10.512820512820513,51.25
Avesh Khan,Lucknow Super Giants,710,476,27,35,22,79.3,8.953341740226987,26.296296296296298
