Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8.5,ALL,Aiden Markram,LSG,PLAYING,1
6.5,ALL,Shahbaz Ahmed,LSG,X_FACTOR_SUBSTITUTE,15
5,ALL,Yuvraj Chaudhary,LSG,NOT_PLAYING,0
5.5,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0
8.5,ALL,Axar Patel,DC,PLAYING,4
6.5,ALL,Vipraj Nigam,DC,PLAYING,7
5.5,ALL,Manvanth Kumar L,DC,NOT_PLAYING,0
5,ALL,Madhav Tiwari,DC,NOT_PLAYING,0
9,WK,Nicholas Pooran,LSG,PLAYING,3
7.5,WK,Rishabh Pant,LSG,PLAYING,4
5.5,WK,Aryan Juyal,LSG,NOT_PLAYING,0
9,WK,Lokesh Rahul,DC,PLAYING,3
8.5,BAT,Mitchell Marsh,LSG,PLAYING,2
7.5,BAT,David Miller,LSG,PLAYING,5
5.5,BAT,Himmat Singh,LSG,X_FACTOR_SUBSTITUTE,14
6,BAT,Matthew Breetzke,LSG,X_FACTOR_SUBSTITUTE,16
7,BAT,Ayush Badoni,LSG,X_FACTOR_SUBSTITUTE,12
6.5,BAT,Abdul Samad,LSG,PLAYING,6
8,BAT,Tristan Stubbs,DC,PLAYING,5
7.5,BAT,Ashutosh Sharma,DC,PLAYING,6
7.5,BAT,Jake Fraser-McGurk,DC,PLAYING,2
6.5,BAT,Sameer Rizvi,DC,X_FACTOR_SUBSTITUTE,15
8,BOWL,Shardul Thakur,LSG,PLAYING,8
7.5,BOWL,Avesh Khan,LSG,PLAYING,11
8,BOWL,Ravi Bishnoi,LSG,PLAYING,10
6.5,BOWL,Mayank Yadav,LSG,X_FACTOR_SUBSTITUTE,13
7,BOWL,Digvesh Singh,LSG,PLAYING,9
6,BOWL,Prince Yadav,LSG,PLAYING,7
9,BOWL,Mitchell Starc,DC,PLAYING,8
7.5,BOWL,Mohit Sharma,DC,PLAYING,10
8.5,BOWL,Kuldeep Yadav,DC,PLAYING,9
7,BOWL,Mukesh Kumar,DC,PLAYING,11
6,BOWL,Darshan Nalkande,DC,X_FACTOR_SUBSTITUTE,13
