Name,Team,Home?,Date,Time,Opp,Bowler,Inn.,B,R,SR,Dots,4s,6s,Boundaries,B/OV,FOW,FOW/OV,Dream11
Jos Buttler,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,Mitchell Marsh,6,52,23,44.23,35,1,0,1,0.12,1,0.12,37.02
Sai Sudharsan,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,Shardul Thakur,4,28,19,67.86,18,1,1,2,0.43,2,0.43,32.81
Shubman Gill,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,Shardul Thakur,7,61,55,90.16,31,6,0,6,0.59,4,0.39,32.87
Aiden Markram,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,Rashid Khan,11,88,69,78.41,41,4,1,5,0.34,3,0.2,30.14
Ayush Badoni,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,Rashid Khan,3,22,19,86.36,9,0,1,1,0.27,1,0.27,29.83
David Miller,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,Mohammed Siraj,8,39,41,105.13,14,2,1,3,0.46,2,0.31,23.45
Nicholas Pooran,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,Prasidh Krishna,8,48,34,70.83,33,2,2,4,0.5,2,0.25,32.69
Marco Jansen,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,Mohammed Shami,5,42,30,71.43,28,4,0,4,0.57,1,0.14,26.01
Marcus Stoinis,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,Jaydev Unadkat,5,17,12,70.59,9,1,0,1,0.35,2,0.71,32.04
Heinrich Klaasen,Sunrisers Hyderabad,Yes,4/12,2:00 PM,Punjab Kings,Arshdeep Singh,6,27,21,77.78,15,2,0,2,0.44,4,0.89,28.54
Kamindu Mendis,Sunrisers Hyderabad,Yes,4/12,2:00 PM,Punjab Kings,Marco Jansen,7,89,53,59.55,62,6,1,7,0.47,3,0.2,20.62
Travis Head,Sunrisers Hyderabad,Yes,4/12,2:00 PM,Punjab Kings,Glenn Maxwell,5,64,17,26.56,52,1,0,1,0.09,1,0.09,20.11
Dhruv Jurel,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,Yash Dayal,4,12,4,33.33,9,0,0,0,0,1,0.5,14.39
Riyan Parag,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,Yash Dayal,7,31,20,64.52,20,1,1,2,0.39,4,0.77,43.39
Yashasvi Jaiswal,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,Yash Dayal,6,105,52,49.52,81,6,1,7,0.4,2,0.11,30.6
Krunal Pandya,Royal Challengers Bangalore,No,4/13,10:00 AM,Rajasthan Royals,Jofra Archer,5,14,8,57.14,6,0,0,0,0,2,0.86,35.54
Axar Patel,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,Jasprit Bumrah,13,48,48,100,18,3,1,4,0.5,3,0.38,33.71
Faf du Plessis,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,Mitchell Santner,12,209,96,45.93,149,5,2,7,0.2,1,0.03,34.53
Faf du Plessis,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,Hardik Pandya,9,150,105,70,92,14,0,14,0.56,2,0.08,34.53
Tristan Stubbs,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,Jasprit Bumrah,5,19,9,47.37,10,0,0,0,0,2,0.63,20.97
Mitchell Santner,Mumbai Indians,No,4/13,2:00 PM,Delhi Capitals,Axar Patel,4,21,17,80.95,12,1,1,2,0.57,1,0.29,26.6
Suryakumar Yadav,Mumbai Indians,No,4/13,2:00 PM,Delhi Capitals,Axar Patel,7,50,47,94,17,4,0,4,0.48,2,0.24,40.65
Suryakumar Yadav,Mumbai Indians,No,4/13,2:00 PM,Delhi Capitals,Mitchell Starc,7,22,15,68.18,13,2,0,2,0.55,3,0.82,40.65
