Name,Team,Home?,Date,Time,Opp,OV,R,ER,MO/Inn.,WK/Inn.,NB/Inn.,Wides/Inn.,Dots/Inn.,Dream11
Arshad Khan,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,10.1,114,11.21,0,0.25,0,2,6,14.22
Aiden Markram,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,2,22,11,0,0,0,0,1,30.14
Shardul Thakur,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,11,107,9.73,0,0,0.33,1,6.67,21.91
Matheesha Pathirana,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,7,50,7.14,0,0.5,0.5,2.5,9.5,19.31
Ravichandran Ashwin,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,47.9,479,10.08,0,0.57,0,1.14,5.57,26.7
Ravindra Jadeja,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,51,403,7.9,0,0.73,0.07,0.4,6.73,31.79
Shivam Dube,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,2,16,8,0,0,0,0,1.5,29.92
Vijay Shankar,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,7,56,8,0,0.25,0,0,4,20.51
Andre Russell,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,19,199,10.47,0,0.44,0,0.78,3.44,39.34
Arshad Khan,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,10.1,114,11.21,0,0.25,0,2,6,14.22
Aiden Markram,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,2,22,11,0,0,0,0,1,30.14
Shardul Thakur,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,11,107,9.73,0,0,0.33,1,6.67,21.91
Glenn Maxwell,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,13,108,8.31,0,0.43,0,0,3.43,41.13
Lockie  Ferguson,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,24,264,11,0,0.71,0.14,0.71,6.71,21.49
Marcus Stoinis,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,13.1,111,8.43,0,0.5,0,0.33,3.17,32.04
Shashank Singh,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,3,25,8.33,0,0.33,0,0.33,0.67,19.23
Fazalhaq Farooqi,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,4,47,11.75,0,0,0,0,6,21.06
Jofra Archer,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,19.4,173,8.8,0,0.4,0.2,0.4,10.2,24.4
Riyan Parag,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,4.1,51,12.24,0,0.2,0,0.2,1,43.39
Bhuvneshwar Kumar,Royal Challengers Bangalore,No,4/13,10:00 AM,Rajasthan Royals,38,355,9.34,0.1,0.7,0.2,1.2,8.8,29.39
Krunal Pandya,Royal Challengers Bangalore,No,4/13,10:00 AM,Rajasthan Royals,29,228,7.86,0,0.4,0,0.3,4.4,35.54
Liam Livingstone,Royal Challengers Bangalore,No,4/13,10:00 AM,Rajasthan Royals,5,40,8,0,0.33,0,0.67,4.33,31.24
Axar Patel,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,55,444,8.07,0,0.65,0,0.24,5.29,33.71
Kuldeep Yadav,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,33,317,9.61,0,0.7,0.1,0.4,5.5,21.7
Hardik Pandya,Mumbai Indians,No,4/13,2:00 PM,Delhi Capitals,27,249,9.22,0,0.45,0.09,0.36,5.55,41.73
