Name,Team,Home?,Date,Time,Opp,Bowler,Inn.,B,R,SR,Dots,4s,6s,Boundaries,B/OV,FOW,FOW/OV,Dream11
Devon Conway,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Moeen Ali,4,38,26,68.42,16,1,0,1,0.16,1,0.16,32.95
Devon Conway,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Sunil Narine,4,26,28,107.69,7,1,1,2,0.46,0,0,32.95
Devon Conway,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Vaibhav Arora,2,18,22,122.22,7,3,0,3,1,0,0,32.95
Devon Conway,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Varun Chakravarthy,2,16,22,137.5,7,2,1,3,1.13,1,0.38,32.95
Devon Conway,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Andre Russell,2,15,24,160,5,4,0,4,1.6,0,0,32.95
MS Dhoni,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Moeen Ali,6,89,65,73.03,45,4,1,5,0.34,0,0,33.42
MS Dhoni,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Sunil Narine,10,53,25,47.17,31,1,0,1,0.11,2,0.23,33.42
MS Dhoni,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Andre Russell,5,30,42,140,14,5,2,7,1.4,2,0.4,33.42
MS Dhoni,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Varun Chakravarthy,5,19,12,63.16,12,1,0,1,0.32,3,0.95,33.42
Rachin Ravindra,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Moeen Ali,5,61,74,121.31,22,3,4,7,0.69,1,0.1,27.89
Rahul Tripathi,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Sunil Narine,11,73,93,127.4,24,8,3,11,0.9,2,0.16,28.34
Rahul Tripathi,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Andre Russell,8,27,44,162.96,14,5,3,8,1.78,4,0.89,28.34
Rahul Tripathi,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Moeen Ali,3,25,33,132,12,1,3,4,0.96,0,0,28.34
Rahul Tripathi,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Varun Chakravarthy,5,22,38,172.73,4,3,2,5,1.36,0,0,28.34
Rahul Tripathi,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Vaibhav Arora,3,19,21,110.53,9,3,0,3,0.95,0,0,28.34
Rahul Tripathi,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Harshit Rana,5,17,16,94.12,9,1,1,2,0.71,0,0,28.34
Rahul Tripathi,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Venkatesh Iyer,1,12,13,108.33,4,1,0,1,0.5,0,0,28.34
Ravichandran Ashwin,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Moeen Ali,14,236,152,64.41,157,13,5,18,0.46,2,0.05,26.7
Ravindra Jadeja,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Moeen Ali,15,142,106,74.65,82,7,3,10,0.42,2,0.08,31.79
Ravindra Jadeja,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Sunil Narine,9,35,28,80,17,1,1,2,0.34,2,0.34,31.79
Ravindra Jadeja,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Andre Russell,5,26,34,130.77,9,2,2,4,0.92,0,0,31.79
Ravindra Jadeja,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Varun Chakravarthy,4,15,14,93.33,3,0,0,0,0,0,0,31.79
Ruturaj Gaikwad,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Varun Chakravarthy,6,50,45,90,19,2,1,3,0.36,2,0.24,36.47
Ruturaj Gaikwad,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Sunil Narine,6,49,63,128.57,13,3,3,6,0.73,1,0.12,36.47
Ruturaj Gaikwad,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Harshit Rana,3,33,22,66.67,24,4,0,4,0.73,1,0.18,36.47
Ruturaj Gaikwad,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Vaibhav Arora,3,20,27,135,6,4,0,4,1.2,0,0,36.47
Ruturaj Gaikwad,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Venkatesh Iyer,1,16,12,75,7,1,0,1,0.38,1,0.38,36.47
Shivam Dube,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Sunil Narine,5,29,24,82.76,12,0,1,1,0.21,0,0,29.92
Shivam Dube,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Varun Chakravarthy,6,28,54,192.86,7,2,5,7,1.5,2,0.43,29.92
Shivam Dube,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Vaibhav Arora,5,19,28,147.37,8,3,1,4,1.26,2,0.63,29.92
Shivam Dube,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Harshit Rana,2,14,15,107.14,5,2,0,2,0.86,0,0,29.92
Shivam Dube,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Moeen Ali,2,13,18,138.46,5,0,2,2,0.92,0,0,29.92
Vijay Shankar,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Harshit Rana,3,33,26,78.79,17,2,0,2,0.36,0,0,20.51
Vijay Shankar,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Varun Chakravarthy,4,23,51,221.74,5,3,4,7,1.83,1,0.26,20.51
Vijay Shankar,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Sunil Narine,6,19,28,147.37,5,2,1,3,0.95,1,0.32,20.51
Vijay Shankar,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,Andre Russell,3,13,18,138.46,3,0,1,1,0.46,1,0.46,20.51
Ajinkya Rahane,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,Rachin Ravindra,2,65,20,30.77,50,1,0,1,0.09,0,0,27.09
