player1,player2,runs,innings,team,versus,venue,date,match_type
V Kohli,AB de Villiers,229,2,Royal Challengers Bangalore,Gujarat Lions,Bengaluru,2016-05-14,Twenty20
V Kohli,AB de Villiers,215,2,Royal Challengers Bangalore,Mumbai Indians,Wankhede,2015-05-10,Twenty20
KL Rahul,Q de Kock,210,1,LSG,Kolkata Knight Riders,DY Patil,2022-05-18,Twenty20
Shubman Gill,B Sai Sudharsan,210,1,Gujarat Titans,Chennai Super Kings,Ahmedabad,2024-05-10,Twenty20
SE Marsh,AC Gilchrist,206,2,Punjab Kings,Royal Challengers Bangalore,Dharamsala,2011-05-17,Twenty20
V Kohli,CH Gayle,204,2,Royal Challengers Bangalore,Delhi Capitals,Delhi,2012-05-17,Twenty20
DA Warner,NV Ojha,189,2,Delhi Capitals,Deccan Chargers,Hyderabad,2012-05-10,Twenty20
DA Warner,JM Bairstow,185,1,SRH,Royal Challengers Bangalore,Hyderabad,,Twenty20
CA Lynn,G Gambhir,184,1,Kolkata Knight Riders,Gujarat Lions,Rajkot,,Twenty20
KL Rahul,MA Agarwal,183,1,Punjab Kings,v RR,Sharjah,,Twenty20
RD Gaikwad,DP Conway,182,1,Chennai Super Kings,v SRH,Pune,2022-05-01,Twenty20
SR Watson,F du Plessis,181,1,Chennai Super Kings,Punjab Kings,Dubai (DICS),,Twenty20
D Padikkal,V Kohli,181,1,Royal Challengers Bangalore,v RR,Wankhede,,Twenty20
KS Williamson,S Dhawan,176,2,SRH,Delhi Capitals,Delhi,2018-05-10,Twenty20
V Kohli,F du Plessis,172,1,Royal Challengers Bangalore,v SRH,Hyderabad,2023-05-18,Twenty20
RG Sharma,HH Gibbs,167,2,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,2012-05-12,Twenty20
TM Head,Abhishek Sharma,167,1,SRH,v LSG,Hyderabad,2024-05-08,Twenty20
CH Gayle,TM Dilshan,167,1,Royal Challengers Bangalore,v Warriors,Bengaluru,,Twenty20
V Kohli,WG Jacks,166,2,Royal Challengers Bangalore,Gujarat Titans,Ahmedabad,,Twenty20
RV Uthappa,S Dube,165,3,Chennai Super Kings,Royal Challengers Bangalore,DY Patil,,Twenty20
SR Tendulkar,DR Smith,163,1,Mumbai Indians,v RR,Jaipur,2012-05-20,Twenty20
DA Warner,JM Bairstow,160,1,SRH,Punjab Kings,Dubai (DICS),,Twenty20
M Vijay,MEK Hussey,159,1,Chennai Super Kings,Royal Challengers Bangalore,Chennai,2011-05-28,Twenty20
RV Uthappa,G Gambhir,158,2,Kolkata Knight Riders,v Supergiant,Pune,,Twenty20
CL White,KC Sangakkara,157,3,Deccan Chargers,v Warriors,Cuttack,2012-05-01,Twenty20
V Kohli,AB de Villiers,157,2,Royal Challengers Bangalore,v SRH,Bengaluru,,Twenty20
VVS Laxman,AC Gilchrist,155,1,Deccan Chargers,Mumbai Indians,DY Patil,,Twenty20
