Team,Player Name,Player Type, Batting_T20_M, Batting_T20_Inn, Batting_T20_Runs, Batting_T20_BF, Batting_T20_HS, Batting_T20_Avg, Batting_T20_SR, Batting_T20_NO, Batting_T20_4s , Batting_T20_6s, Batting_T20_50, Batting_T20_100, Batting_T20_200, Batting_IPL_M, Batting_IPL_Inn, Batting_IPL_Runs, Batting_IPL_BF, Batting_IPL_HS, Batting_IPL_Avg, Batting_IPL_SR, Batting_IPL_NO, Batting_IPL_4s , Batting_IPL_6s, Batting_IPL_50, Batting_IPL_100, Batting_IPL_200
CHE,Vansh Bedi,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
CHE,Andre Siddharth,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
CHE,Ramakrishna Ghosh,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
CHE,Shaik Rasheed,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
CHE,Gurjapneet Singh,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
CHE,Matheesha Pathirana,BOWL,19,9,17,32,6,3.4,53.13,4,1,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
CHE,Noor Ahmad,BOWL,14,8,41,53,12,6.83,77.36,2,1,3,0,0,0,28,8,13,20,7,3.25,65.0,4.0,2.0,0,0,0,0
CHE,Anshul Kamboj,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,1,2,2,2,0.0,100.0,1.0,0.0,0,0,0,0
CHE,Nathan Ellis,BOWL,20,6,18,38,11,6.0,47.37,3,0,0,0,0,0,17,5,19,25,12,4.75,76.0,1.0,0.0,1,0,0,0
CHE,Mukesh Choudhary,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,16,2,6,6,4,6.0,100.0,1.0,1.0,0,0,0,0
CHE,Ruturaj Gaikwad,BAT,23,20,633,441,123,39.56,143.54,4,65,24,4,1,0,71,70,2502,1820,108,40.35,137.48,8.0,231.0,95,20,2,0
CHE,Kamlesh Nagarkoti,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,7,22,33,8,5.5,66.67,3.0,1.0,0,0,0,0
CHE,Rachin Ravindra,BAT,26,24,309,242,69,17.17,127.69,6,19,14,2,0,0,15,15,367,247,65,26.21,148.59,1.0,35.0,16,2,0,0
CHE,Khaleel Ahmed,BOWL,18,2,1,2,1,0.0,50.0,2,0,0,0,0,0,62,5,1,7,1,0.2,14.29,0.0,0.0,0,0,0,0
CHE,Shivam Dube,BAT,35,26,531,379,63,31.24,140.11,9,37,28,4,0,0,70,66,1608,1098,95,29.24,146.45,11.0,93.0,108,9,0,0
CHE,Rahul Tripathi,BAT,5,5,97,67,44,19.4,144.78,0,11,5,0,0,0,98,96,2266,1630,93,26.35,139.02,10.0,227.0,85,12,0,0
CHE,Sam Curran,ALL,58,34,356,286,50,14.24,124.48,9,21,15,1,0,0,61,50,895,669,63,24.19,133.79,13.0,74.0,37,5,0,0
CHE,Shreyas Gopal,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,52,22,180,169,24,12.86,106.51,8.0,19.0,2,0,0,0
CHE,Deepak Hooda,BAT,21,17,368,250,104,30.67,147.2,5,29,18,0,1,0,120,98,1472,1145,64,17.95,128.56,16.0,97.0,61,8,0,0
CHE,Devon Conway,WK,50,46,1408,1102,99,38.05,127.77,9,135,37,10,0,0,25,24,1006,717,92,47.9,140.31,3.0,106.0,32,10,0,0
CHE,Jamie Overton,ALL,12,8,50,47,19,8.33,106.39,2,3,1,0,0,0,1,1,11,4,11,0.0,275.0,1.0,0.0,1,0,0,0
CHE,Vijay Shankar,BAT,9,4,101,73,43,25.25,138.36,0,11,5,0,0,0,75,63,1195,921,69,26.56,129.76,18.0,85.0,47,7,0,0
CHE,	Ravichandran Ashwin	,ALL,65,19,184,160,31,26.29,115.0,12,17,4,0,0,0,0,65,65,1452,1672,72.0,23.22,6.91,20.17,4/8,4/8,0,0
CHE,Ravindra Jadeja,ALL,74,41,515,405,46,21.46,127.17,17,39,14,0,0,0,245,189,3044,2348,62,27.42,129.65,78.0,220.0,110,3,0,0
CHE,MS Dhoni,WK,98,85,1617,1282,56,37.6,126.14,42,116,52,2,0,0,269,234,5346,3879,84,39.31,137.82,98.0,369.0,259,24,0,0
DC,Madhav Tiwari,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
DC,Manvanth Kumar L,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
DC,Tripurana Vijay,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
DC,Vipraj Nigam,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,2,40,17,39,40.0,235.3,1.0,5.0,2,0,0,0
DC,Tristan Stubbs,BAT,35,29,670,497,76,29.13,134.81,6,57,28,2,0,0,22,21,522,304,71,43.5,171.72,9.0,36.0,31,3,0,0
DC,Abishek Porel,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,22,20,434,283,65,25.53,153.36,3.0,44.0,18,2,0,0
DC,Ashutosh Sharma,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,11,256,145,66,32.0,176.56,3.0,15.0,20,2,0,0
DC,Donovan Ferreira,ALL,6,5,79,50,48,15.8,158.0,0,2,6,0,0,0,2,2,8,11,7,4.0,72.73,0.0,0.0,0,0,0,0
DC,Sameer Rizvi,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10,7,75,62,21,12.5,120.97,1.0,6.0,3,0,0,0
