Team,Player Name,Player Type,Bowling_T20_M,Bowling_T20_Inn,Bowling_T20_B,Bowling_T20_Runs,Bowling_T20_Wkts,Bowling_T20_Avg,Bowling_T20_Econ,Bowling_T20_SR,Bowling_T20_BBI,Bowling_T20_BBM,Bowling_T20_5w,Bowling_T20_10w,Bowling_IPL_M,Bowling_IPL_Inn,Bowling_IPL_B,Bowling_IPL_Runs,Bowling_IPL_Wkts,Bowling_IPL_Avg,Bowling_IPL_Econ,Bowling_IPL_SR,Bowling_IPL_BBI,Bowling_IPL_BBM,Bowling_IPL_5w,Bowling_IPL_10w
CHE,Vansh Bedi,WK,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
CHE,Andre Siddharth,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
CHE,Ramakrishna Ghosh,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
CHE,Shaik Rasheed,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
CHE,Gurjapneet Singh,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
CHE,Matheesha Pathirana,BOWL,19,18,344,488,30,16.27,8.51,11.47,4/24,4/24,0,0,24,24,547,739,39,18.95,8.11,14.03,4/28,4/28,0,0
CHE,Noor Ahmad,BOWL,14,13,228,264,7,37.71,6.95,32.57,4/10,4/10,0,0,28,28,600,809,35,23.11,8.09,17.14,4/18,4/18,0,0
CHE,Anshul Kamboj,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,3,3,60,114,2,57.0,11.4,30.0,1/24,1/24,0,0
CHE,Nathan Ellis,BOWL,20,20,424,541,32,16.91,7.66,13.25,4/28,4/28,0,0,17,17,378,546,19,28.74,8.67,19.89,4/30,4/30,0,0
CHE,Mukesh Choudhary,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,16,16,315,522,17,30.71,9.94,18.53,4/46,4/46,0,0
CHE,Ruturaj Gaikwad,BAT,23,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,71,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
CHE,Kamlesh Nagarkoti,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,12,11,180,285,5,57.0,9.5,36.0,2/13,2/13,0,0
CHE,Rachin Ravindra,BAT,26,15,246,270,13,20.77,6.59,18.92,3/22,3/22,0,0,15,2,12,7,0,0.0,3.5,0.0,0/3,0/3,0,0
CHE,Khaleel Ahmed,BOWL,18,18,396,562,16,35.13,8.52,24.75,2/27,2/27,0,0,62,62,1396,2046,84,24.36,8.79,16.62,3/21,3/21,0,0
CHE,Shivam Dube,BAT,35,24,285,445,13,34.23,9.37,21.92,3/30,3/30,0,0,70,14,112,180,5,36.0,9.64,22.4,2/15,2/15,0,0
CHE,Rahul Tripathi,BAT,5,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,98,1,6,12,0,0.0,12.0,0.0,0/12,0/12,0,0
CHE,Sam Curran,ALL,58,57,1043,1462,54,27.07,8.41,19.31,5/10,5/10,1,0,61,60,1205,1947,58,33.57,9.69,20.78,4/11,4/11,0,0
CHE,Shreyas Gopal,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,52,51,991,1348,52,25.92,8.16,19.06,4/16,4/16,0,0
CHE,Deepak Hooda,BAT,21,8,95,76,6,12.67,4.8,15.83,4/10,4/10,0,0,120,33,373,531,10,53.1,8.54,37.3,2/16,2/16,0,0
CHE,Devon Conway,WK,50,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,25,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
CHE,Jamie Overton,ALL,12,8,136,186,11,16.91,8.21,12.36,3/20,3/20,0,0,1,1,12,30,0,0.0,15.0,0.0,0/30,0/30,0,0
CHE,Vijay Shankar,BAT,9,6,126,191,5,38.2,9.1,25.2,2/32,2/32,0,0,75,22,238,344,9,38.22,8.67,26.44,2/19,2/19,0,0
CHE,	Ravichandran Ashwin	,ALL,217,96,812,690,50,13.1,117.69,34.0,62,28,1,0,217,214,4644,5567,185,30.09,7.19,25.1,4/34,4/34,0,0
CHE,Ravindra Jadeja,ALL,74,71,1356,1612,54,29.85,7.13,25.11,3/15,3/15,0,0,245,216,3907,4969,162,30.67,7.63,24.12,5/16,5/16,1,0
CHE,MS Dhoni,WK,98,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,269,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
DC,Madhav Tiwari,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
DC,Manvanth Kumar L,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
