Player Name,Team,Credits,Player Type,FantasyPoints
Iqbal Abdulla,DG,7.5,All Rounder,826.5
Iqbal Abdulla,DG,7.5,All Rounder,26.5
Iqbal Abdulla,DG,7.5,All Rounder,351.5
Iqbal Abdulla,DG,7.5,All Rounder,867.0
Iqbal Abdulla,DG,7.5,All Rounder,67.0
Iqbal Abdulla,DG,7.5,All Rounder,392.0
Isuru Udana,DG,8.0,All Rounder,0.0
Robert Frylinck,PNS,9.0,All Rounder,0.0
Seekkuge Prasanna,DG,7.0,All Rounder,0.0
Javon Searles,PNS,8.0,All Rounder,0.0
Anand-Singh,PNS,6.5,All Rounder,0.0
Ayan Khan,PNS,7.0,All Rounder,0.0
Deepansh Kumar,DG,6.5,All Rounder,0.0
Udit Mohan,DG,6.0,All Rounder,0.0
Himanshu Bishnoi,PNS,6.0,All Rounder,0.0
William Perkins,PNS,7.5,Wicket Keeper,0.0
Brendan Taylor,DG,7.5,Wicket Keeper,0.0
Kennar Lewis,PNS,9.0,Wicket Keeper,0.0
Rahul Mahesh Yadav,DG,6.0,Wicket Keeper,0.0
Maninder Singh,DG,6.5,Wicket Keeper,0.0
Narsingh Deonarine,PNS,9.0,Batsmen,0.0
Jesse Ryder,PNS,8.5,Batsmen,0.0
Kevin O'brien,DG,8.0,Batsmen,0.0
Richard Levi,DG,7.5,Batsmen,0.0
Danza Hyatt,PNS,6.5,Batsmen,0.0
Kithuruwan Vithanage,DG,6.5,Batsmen,0.0
Andre McIntosh McCarthy,PNS,8.0,Batsmen,0.0
Shivakant Shukla,PNS,6.0,Batsmen,0.0
Dave Mohammed,PNS,7.5,Bowlers,0.0
Siddharth Trivedi,DG,6.5,Bowlers,0.0
Ishwar Pandey,PNS,8.5,Bowlers,0.0
Luke Fletcher,DG,6.5,Bowlers,0.0
Vikas Tokas,DG,6.5,Bowlers,0.0
Jon-Russ Jaggesar,PNS,9.0,Bowlers,0.0
Mohmad Ajrudeen,PNS,7.0,Bowlers,0.0
Nicholson Gordon,PNS,7.0,Bowlers,0.0
Ravi Balara,DG,7.0,Bowlers,0.0
Axar Patel,DC,9.0,ALL,0.0
Wiaan Mulder,SRH,7.0,ALL,0.0
Abhishek Sharma,SRH,8.5,ALL,344.5
Abhishek Sharma,SRH,8.5,ALL,1746.0
Ajay Mandal,DC,6.0,ALL,0.0
K Nitish Reddy,SRH,8.0,ALL,0.0
Donovan Ferreira,DC,7.0,ALL,0.0
Vipraj Nigam,DC,6.0,ALL,0.0
Manvanth Kumar L,DC,5.5,ALL,0.0
Madhav Tiwari,DC,5.0,ALL,0.0
Lokesh Rahul,DC,9.0,WK,0.0
Heinrich Klaasen,SRH,9.0,WK,0.0
Ishan Kishan,SRH,8.5,WK,349.0
Ishan Kishan,SRH,8.5,WK,349.0
Ishan Kishan,SRH,8.5,WK,2541.5
Ishan Kishan,SRH,8.5,WK,2541.5
Ishan Kishan,SRH,8.5,WK,117.5
Ishan Kishan,SRH,8.5,WK,117.5
Abishek Porel,DC,6.5,WK,393.5
Faf du Plessis,DC,8.5,BAT,0.0
Karun Nair,DC,7.0,BAT,0.0
Travis Head,SRH,9.0,BAT,0.0
Sachin Baby,SRH,6.5,BAT,78.0
Sachin Baby,SRH,6.5,BAT,226.5
Kamindu Mendis,SRH,7.0,BAT,0.0
Atharva Taide,SRH,6.5,BAT,268.5
Abhinav Manohar,SRH,6.5,BAT,0.0
Jake Fraser-McGurk,DC,7.5,BAT,0.0
Sameer Rizvi,DC,6.5,BAT,55.0
Ashutosh Sharma,DC,7.5,BAT,209.0
Tristan Stubbs,DC,8.0,BAT,0.0
Aniket Verma,SRH,5.0,BAT,8.0
Jaydev Unadkat,SRH,7.0,BOWL,0.0
Mitchell Starc,DC,8.5,BOWL,0.0
Mohammed Shami,SRH,8.5,BOWL,777.5
Mohammed Shami,SRH,8.5,BOWL,1277.5
Mohammed Shami,SRH,8.5,BOWL,1177.5
Mohammed Shami,SRH,8.5,BOWL,77.5
Mohammed Shami,SRH,8.5,BOWL,552.5
Mohammed Shami,SRH,8.5,BOWL,77.5
Mohammed Shami,SRH,8.5,BOWL,730.5
Mohammed Shami,SRH,8.5,BOWL,1230.5
Mohammed Shami,SRH,8.5,BOWL,1130.5
Mohammed Shami,SRH,8.5,BOWL,30.5
Mohammed Shami,SRH,8.5,BOWL,505.5
Mohammed Shami,SRH,8.5,BOWL,30.5
Mohammed Shami,SRH,8.5,BOWL,728.0
Mohammed Shami,SRH,8.5,BOWL,1228.0
Mohammed Shami,SRH,8.5,BOWL,1128.0
Mohammed Shami,SRH,8.5,BOWL,28.0
Mohammed Shami,SRH,8.5,BOWL,503.0
Mohammed Shami,SRH,8.5,BOWL,28.0
Mohammed Shami,SRH,8.5,BOWL,730.0
Mohammed Shami,SRH,8.5,BOWL,1230.0
Mohammed Shami,SRH,8.5,BOWL,1130.0
Mohammed Shami,SRH,8.5,BOWL,30.0
Mohammed Shami,SRH,8.5,BOWL,505.0
Mohammed Shami,SRH,8.5,BOWL,30.0
Mohammed Shami,SRH,8.5,BOWL,738.0
Mohammed Shami,SRH,8.5,BOWL,1238.0
Mohammed Shami,SRH,8.5,BOWL,1138.0
Mohammed Shami,SRH,8.5,BOWL,38.0
Mohammed Shami,SRH,8.5,BOWL,513.0
Mohammed Shami,SRH,8.5,BOWL,38.0
Pat Cummins,SRH,8.5,BOWL,0.0
Harshal Patel,SRH,8.0,BOWL,0.0
Dushmantha Chameera,DC,7.0,BOWL,0.0
Adam Zampa,SRH,7.5,BOWL,0.0
Mohit Sharma,DC,7.5,BOWL,0.0
Kuldeep Yadav,DC,8.5,BOWL,1309.5
Kuldeep Yadav,DC,8.5,BOWL,1209.5
Kuldeep Yadav,DC,8.5,BOWL,1234.5
Kuldeep Yadav,DC,8.5,BOWL,1134.5
Mukesh Kumar,DC,7.0,BOWL,785.0
Zeeshan Ansari,SRH,5.5,BOWL,0.0
T Natarajan,DC,7.0,BOWL,53.0
T Natarajan,DC,7.0,BOWL,1853.0
Rahul Chahar,SRH,6.5,BOWL,0.0
Darshan Nalkande,DC,6.5,BOWL,0.0
Simarjeet- Singh,SRH,6.5,BOWL,0.0
Tripurana Vijay,DC,5.5,BOWL,0.0
Eshan Malinga,SRH,6.0,BOWL,0.0
Ravindra Jadeja,CHE,8.5,ALL,0.0
Ravichandran Ashwin,CHE,8.0,ALL,0.0
Jamie Overton,CHE,6.5,ALL,0.0
Nitish Rana,RR,7.5,ALL,0.0
Sam Curran,CHE,7.5,ALL,0.0
Wanindu Hasaranga,RR,8.0,ALL,0.0
Riyan Parag,RR,8.0,ALL,0.0
Yudhvir Singh Charak,RR,6.5,ALL,0.0
Ramakrishna Ghosh,CHE,5.5,ALL,0.0
MS Dhoni,CHE,7.0,WK,5056.0
MS Dhoni,CHE,7.0,WK,313.5
MS Dhoni,CHE,7.0,WK,307.0
Sanju Samson,RR,9.0,WK,0.0
Devon Conway,CHE,7.5,WK,0.0
Dhruv Jurel,RR,7.5,WK,456.0
Kunal Singh Rathore,RR,5.0,WK,0.0
Vansh Bedi,CHE,5.0,WK,0.0
Vijay Shankar,CHE,6.5,BAT,0.0
Deepak Hooda,CHE,7.0,BAT,0.0
Shimron Hetmyer,RR,7.5,BAT,0.0
Rahul Tripathi,CHE,7.5,BAT,0.0
Shivam Dube,CHE,8.0,BAT,0.0
Rachin Ravindra,CHE,8.0,BAT,0.0
Ruturaj Gaikwad,CHE,9.0,BAT,0.0
Yashasvi Jaiswal,RR,8.5,BAT,0.0
Shubham Dubey,RR,6.0,BAT,0.0
Shaik Rasheed,CHE,5.0,BAT,0.0
Andre Siddharth,CHE,5.5,BAT,0.0
Vaibhav Suryavanshi,RR,5.0,BAT,0.0
Sandeep Sharma,RR,7.5,BOWL,1926.5
Sandeep Sharma,RR,7.5,BOWL,101.5
Sandeep Sharma,RR,7.5,BOWL,801.5
Sandeep Sharma,RR,7.5,BOWL,1126.5
Sandeep Sharma,RR,7.5,BOWL,1902.0
Sandeep Sharma,RR,7.5,BOWL,77.0
Sandeep Sharma,RR,7.5,BOWL,777.0
Sandeep Sharma,RR,7.5,BOWL,1102.0
Sandeep Sharma,RR,7.5,BOWL,1927.5
Sandeep Sharma,RR,7.5,BOWL,102.5
Sandeep Sharma,RR,7.5,BOWL,802.5
Sandeep Sharma,RR,7.5,BOWL,1127.5
Shreyas Gopal,CHE,6.5,BOWL,0.0
Khaleel Ahmed,CHE,7.5,BOWL,0.0
Jofra Archer,RR,8.0,BOWL,0.0
Tushar Deshpande,RR,7.5,BOWL,0.0
Kamlesh Nagarkoti,CHE,6.0,BOWL,0.0
Mukesh Choudhary,CHE,6.5,BOWL,406.5
FazalHaq Farooqi,RR,7.0,BOWL,0.0
Nathan Ellis,CHE,7.0,BOWL,0.0
Anshul Kamboj,CHE,6.0,BOWL,0.0
Kumar Kartikeya,RR,6.0,BOWL,0.0
Noor Ahmad,CHE,8.0,BOWL,114.0
Noor Ahmad,CHE,8.0,BOWL,614.0
Maheesh Theekshana,RR,7.5,BOWL,0.0
Matheesha Pathirana,CHE,8.5,BOWL,0.0
Akash Madhwal,RR,7.0,BOWL,554.0
Gurjapneet Singh,CHE,6.0,BOWL,0.0
Kwena Maphaka,RR,6.0,BOWL,0.0
Ashok Sharma,RR,5.0,BOWL,0.0
Sunil Narine,KKR,9.0,ALL,0.0
Andre Russell,KKR,8.5,ALL,0.0
Moeen Ali,KKR,7.0,ALL,0.0
Corbin Bosch,MI,6.0,ALL,0.0
Mitchell Santner,MI,7.5,ALL,0.0
Hardik Pandya,MI,9.0,ALL,0.0
Will Jacks,MI,7.5,ALL,0.0
Ramandeep Singh,KKR,7.5,ALL,145.5
Ramandeep Singh,KKR,7.5,ALL,295.5
Ramandeep Singh,KKR,7.5,ALL,47.5
Ramandeep Singh,KKR,7.5,ALL,197.5
Anukul Sudhakar Roy,KKR,6.0,ALL,0.0
Naman Dhir,MI,6.5,ALL,198.5
Quinton de Kock,KKR,8.5,WK,0.0
Rahmanullah Gurbaz,KKR,7.5,WK,320.0
Ryan Rickelton,MI,7.5,WK,0.0
KL Shrijith,MI,6.0,WK,0.0
Luvnith Sisodia,KKR,5.5,WK,0.0
Robin Minz,MI,6.0,WK,0.0
Rohit Sharma,MI,9.0,BAT,0.0
Ajinkya Rahane,KKR,7.5,BAT,0.0
Manish Pandey,KKR,7.0,BAT,0.0
Suryakumar Yadav,MI,9.0,BAT,0.0
Venkatesh Iyer,KKR,8.0,BAT,0.0
Rinku Singh,KKR,7.5,BAT,0.0
Rovman Powell,KKR,7.0,BAT,0.0
Tilak Varma,MI,8.0,BAT,1293.0
Angkrish Raghuvanshi,KKR,6.5,BAT,0.0
Raj Angad Bawa,MI,5.5,BAT,0.0
Bevon Jacobs,MI,6.0,BAT,0.0
Karn Sharma,MI,6.5,BOWL,0.0
Deepak Chahar,MI,8.0,BOWL,0.0
Trent Boult,MI,8.5,BOWL,0.0
Jasprit Bumrah,MI,9.0,BOWL,0.0
Reece Topley,MI,6.5,BOWL,0.0
Anrich Nortje,KKR,7.5,BOWL,0.0
Varun Chakravarthy,KKR,9.0,BOWL,0.0
Spencer Johnson,KKR,6.5,BOWL,0.0
Arjun Tendulkar,MI,5.0,BOWL,114.0
Chetan Sakariya,KKR,6.0,BOWL,0.0
Mujeeb-ur-Rahman,MI,7.0,BOWL,0.0
Mayank Markande,KKR,6.0,BOWL,0.0
Vaibhav Arora,KKR,6.5,BOWL,0.0
Ashwani Kumar,MI,5.5,BOWL,0.0
Satyanarayana Raju,MI,6.0,BOWL,0.0
Vignesh Puthur,MI,6.5,BOWL,0.0
Harshit Rana,KKR,8.0,BOWL,682.5
Musheer Khan,PBKS,6.0,ALL,0.0
Suryansh Shedge,PBKS,5.5,ALL,0.0
