Match Number,Date,Team 1,Team 2,Venue,Time
1,"Mar 22, Sat",Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata","Eden Gardens, Kolkata"
2,"Mar 23, Sun",Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
3,"Mar 23, Sun",Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chennai","MA Chidambaram Stadium, Chennai"
4,"Mar 24, Mon",Lucknow Super Giants,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
5,"Mar 25, Tue",Punjab Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad","Narendra Modi Stadium, Ahmedabad"
6,"Mar 26, Wed",Rajasthan Royals,Kolkata Knight Riders,"Barsapara Cricket Stadium, Guwahati","Barsapara Cricket Stadium, Guwahati"
7,"Mar 27, Thu",Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
8,"Mar 28, Fri",Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chennai","MA Chidambaram Stadium, Chennai"
9,"Mar 29, Sat",Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad","Narendra Modi Stadium, Ahmedabad"
10,"Mar 30, Sun",Sunrisers Hyderabad,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
11,"Mar 30, Sun",Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati","Barsapara Cricket Stadium, Guwahati"
12,"Mar 31, Mon",Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai"
13,"Apr 01, Tue",Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
14,"Apr 02, Wed",Royal Challengers Bengaluru,Gujarat Titans,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru"
15,"Apr 03, Thu",Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata","Eden Gardens, Kolkata"
16,"Apr 04, Fri",Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
17,"Apr 05, Sat",Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chennai","MA Chidambaram Stadium, Chennai"
18,"Apr 05, Sat",Rajasthan Royals,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
19,"Apr 06, Sun",Sunrisers Hyderabad,Gujarat Titans,"Rajiv Gandhi International Stadium, Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
20,"Apr 07, Mon",Royal Challengers Bengaluru,Mumbai Indians,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai"
21,"Apr 08, Tue",Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata","Eden Gardens, Kolkata"
22,"Apr 08, Tue",Punjab Kings,Chennai Super Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
23,"Apr 09, Wed",Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","Narendra Modi Stadium, Ahmedabad"
24,"Apr 10, Thu",Royal Challengers Bengaluru,Delhi Capitals,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru"
25,"Apr 11, Fri",Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai","MA Chidambaram Stadium, Chennai"
26,"Apr 12, Sat",Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
27,"Apr 12, Sat",Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
28,"Apr 13, Sun",Rajasthan Royals,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur","Sawai Mansingh Stadium, Jaipur"
29,"Apr 13, Sun",Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi"
30,"Apr 14, Mon",Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
